Dose strength,Rain,mean_12,Above_15_percent_mean_12h,Above_5_percent_mean_12h
0.0955,0,0.09849166666666666,False,False
0.108,0,0.09849166666666666,False,True
0.111,0,0.09849166666666666,False,True
0.111,0,0.09849166666666666,False,True
0.111,0,0.09849166666666666,False,True
0.105,0,0.09849166666666666,False,True
0.093,0,0.09849166666666666,False,False
0.0872,0,0.09849166666666666,False,False
0.0894,0,0.09849166666666666,False,False
0.0901,0,0.09849166666666666,False,False
0.0923,0,0.09849166666666666,False,False
0.0884,0,0.09849166666666666,False,False
0.0878,0,0.09105,False,False
0.09,0,0.09105,False,False
0.0873,0,0.09105,False,False
0.0884,0,0.09105,False,False
0.0877,0,0.09105,False,False
0.106,0,0.09105,True,True
0.104,0,0.09105,False,True
0.0879,0,0.09105,False,False
0.0865,0,0.09105,False,False
0.0933,0,0.09105,False,False
0.0855,0,0.09105,False,False
0.0882,0,0.09105,False,False
